#,Текст вопроса (Напишите вопрос - 100),Прикрепить картинку,Правильный ответ (50),"Комментарий (Напишите комментарий для тех, кто будет оценивать Ваш вопрос - 400)","Описание (Раскройте тему вопроса, напишите авторское объяснение - 1500)",Источник информации (Напишите источник информации - 50 прикрепите ссылку на источник),Неправильный ответ 1 (50),Неправильный ответ 2 (50),Неправильный ответ 3 (50),Тема (50),Категория (50),Раздел (30),Сложность (5-ти бальная шкала сложности),Сложность (10-ти бальная шкала сложности),Сложность (15-ти бальная шкала сложности),Автор (30),Дата подачи вопроса,Рецензент (30),Дата резензии,Дата включения вопроса в базу
143,"Трансформация бездействующих активов в судный или инвестиционный капитал, - это функция…?",,Финансового рынка,,"Финансовый рынок (от лат. financia — наличность, доход) — система экономических взаимоотношений, связанных с заимствованием, выпуском, куплей, продажей ценных бумаг, драгоценных металлов, валют и других инструментов инвестирования. В качестве составных частей финансового рынка выделяют: рынок ссудных капиталов (денежный рынок, кредитный рынок), валютный рынок, рынок ценных бумаг (первичный, вторичный, третичный), рынок страхования и перестрахования, рынок драгоценных металлов.",,Федерального казначейства,Федеральной налоговой службы,Счетной палаты,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,5,,Александр Иванов,25.06.2021,Александр Иванов,25.06.2021,25.06.2021
144,"Активная мобилизация временно свободных средств из многих источников, - это функция…?",,Финансового рынка,,"Финансовый рынок (от лат. financia — наличность, доход) — система экономических взаимоотношений, связанных с заимствованием, выпуском, куплей, продажей ценных бумаг, драгоценных металлов, валют и других инструментов инвестирования. В качестве составных частей финансового рынка выделяют: рынок ссудных капиталов (денежный рынок, кредитный рынок), валютный рынок, рынок ценных бумаг (первичный, вторичный, третичный), рынок страхования и перестрахования, рынок драгоценных металлов.",,Министерства обороны,Министерства внутренних дел,Резервного фонда,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,5,,Александр Иванов,25.06.2021,Александр Иванов,25.06.2021,25.06.2021
145,"Эффективное распределение свободных ресурсов между их потребителями, - это функция…?",,Финансового рынка,,"Финансовый рынок (от лат. financia — наличность, доход) — система экономических взаимоотношений, связанных с заимствованием, выпуском, куплей, продажей ценных бумаг, драгоценных металлов, валют и других инструментов инвестирования. В качестве составных частей финансового рынка выделяют: рынок ссудных капиталов (денежный рынок, кредитный рынок), валютный рынок, рынок ценных бумаг (первичный, вторичный, третичный), рынок страхования и перестрахования, рынок драгоценных металлов.",,Федеральной налоговой службы,Федерального казначейства,Резервного фонда,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,4,,Александр Иванов,25.06.2021,Александр Иванов,25.06.2021,25.06.2021
146,"Ускорение оборота средств, способствующее активизации экономических процессов, - это функция…?",,Финансового рынка,,"Финансовый рынок (от лат. financia — наличность, доход) — система экономических взаимоотношений, связанных с заимствованием, выпуском, куплей, продажей ценных бумаг, драгоценных металлов, валют и других инструментов инвестирования. В качестве составных частей финансового рынка выделяют: рынок ссудных капиталов (денежный рынок, кредитный рынок), валютный рынок, рынок ценных бумаг (первичный, вторичный, третичный), рынок страхования и перестрахования, рынок драгоценных металлов.",,Федеральной налоговой службы,"""Черного"" рынка",Федерального казначейства,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,4,,Александр Иванов,25.06.2021,Александр Иванов,25.06.2021,25.06.2021
147,К финансовым активам не относятся?,,Баррель нефти,,"Финансовые активы (англ. Financial assets) — это специфическая форма собственности, предполагающая получение дохода. (Например: часть активов компании, представляющая собой финансовые ресурсы: денежные средства и ценные бумаги, навыки и способность зарабатывать.) Финансовые активы включают: - производные финансовые инструменты;
- кассовую наличность;
- депозиты в банках;
- вклады;
- чеки;
- страховые полисы;
- вложения в ценные бумаги;
- обязательства других предприятий и организаций по выплате средств за поставленную продукцию (коммерческий кредит);
- портфельные вложения в акции иных предприятий;
- пакеты акций других предприятий, дающие право контроля;
- паи или долевые участия в других предприятиях.",,Фьючерс на USD/JPY,Полис ОСАГО,Российский рубль,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,3,,Александр Иванов,25.06.2021,Александр Иванов,25.06.2021,25.06.2021
148,"Сумма, указанная в процентах к сумме кредита, которую платит заемщик за пользование им - это…?",,Процентная ставка,,"Процентная ставка — сумма, указанная в процентном выражении к сумме кредита, которую платит получатель кредита за пользование им в расчёте на определённый период (месяц, квартал, год). 
С позиции теории денег, процентная ставка — цена денег как средства сбережения.
Процентный доход — доход от предоставления капитала в долг в разных формах (ссуды, кредиты), либо это доход от инвестиций в ценные бумаги.",,Очная ставка,Букмекерская ставка,Тарифная ставка,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,2,,Александр Иванов,25.06.2021,Александр Иванов,25.06.2021,25.06.2021
149,Финансовый инструмент не может существовать в форме…?,,Права на объект недвижимости,,"Финансовый инструмент — «квазиденьги», финансовый документ (ценная бумага, денежное обязательство, фьючерс, опцион и т. п.), продажа или передача которого обеспечивает получение денежных средств. 
Также данные инструменты можно описать, как договоры, в результате которых возникают финансовые активы у одной компании и финансовые обязательства или долевые инструменты у другой компании.",,Финансового актива,Финансового обязательства,Фьючерса на нефть,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,3,,Александр Иванов,25.06.2021,Александр Иванов,25.06.2021,25.06.2021
150,Что не является сегментом финансового рынка по типу активов?,,Рынок государственных услуг,,"Финансовый рынок (от лат. financia — наличность, доход) — система экономических взаимоотношений, связанных с заимствованием, выпуском, куплей, продажей ценных бумаг, драгоценных металлов, валют и других инструментов инвестирования. В качестве составных частей финансового рынка выделяют: рынок ссудных капиталов (денежный рынок, кредитный рынок), валютный рынок, рынок ценных бумаг (первичный, вторичный, третичный), рынок страхования и перестрахования, рынок драгоценных металлов.",,Страховой рынок,Рынок деривативов,Кредитный рынок,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,4,,Александр Иванов,25.06.2021,Александр Иванов,25.06.2021,25.06.2021
151,К финансовому рынку не относится...?,,Товарный рынок,,"Финансовый рынок (от лат. financia — наличность, доход) — система экономических взаимоотношений, связанных с заимствованием, выпуском, куплей, продажей ценных бумаг, драгоценных металлов, валют и других инструментов инвестирования. В качестве составных частей финансового рынка выделяют: рынок ссудных капиталов (денежный рынок, кредитный рынок), валютный рынок, рынок ценных бумаг (первичный, вторичный, третичный), рынок страхования и перестрахования, рынок драгоценных металлов.",,Фондовый рынок,Срочный рынок,Рынок драгоценных металлов,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,3,,Александр Иванов,26.06.2021,Александр Иванов,26.06.2021,26.06.2021
152,Реальная процентная ставка - это…?,,Номинальная процентная ставка с учетом инфляции,,"В зависимости от того учитывается или не учитывается, при расчёте процентной ставки, уровень инфляции, можно выделить два типа процентных ставок: 
1. Реальная. При её расчёте учитывается уровень текущей инфляции;
2. Номинальная. Рассчитывается без учёта инфляции.
Реальная и номинальная процентные ставки, а также уровень инфляции связаны между собой определённой зависимостью. Зависимость эту называют по имени американского экономиста Ирвинга Фишера - Эффект Фишера. 
Простой пример: если с инвестированных денежных средств в размере 1 000 000 рублей будет получена прибыль в 200 000 рублей, то это будет соответствовать номинальной процентной ставке в 20%. А если инфляция при этом составит 3%, то реальная процентная ставка будет равна 17% (20-3=17).
То есть, если за то же самое время (пока эти деньги вложены), средний уровень инфляции в стране составит 3%, то реальный заработок инвестора будет уже на эти три процента меньше. На руки он получит, конечно, 200 тысяч, но их покупательная способность к этому времени уже снизится на процент инфляции. И теперь, на полученные 200 000 рублей, можно будет приобрести столько же товаров и услуг, сколько раньше (до начала периода инвестирования) можно было купить за 170 000 рублей.",,Ставка инфляции,Тарифная ставка,Ключевая ставка,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,4,,Александр Иванов,26.06.2021,Александр Иванов,26.06.2021,26.06.2021
153,Банковская модель рынка имеет также название…?,,Континентальная модель,,"Исторически сформировались две основные модели финансовых рынков: финансовая система, ориентированная на банковское финансирование — bank based financial system, так называемая континентальная модель (европейско-континентальная модель), — и финансовая система, ориентированная на рынок ценных бумаг и систему институциональных инвесторов (страховые компании, инвестиционные и пенсионные фонды) — market based financial system, или англо-американская модель.
Для англо-американской модели характерна ориентация на публичное размещение ценных бумаг и высокий уровень развития вторичного рынка, который по объему значительно больше вторичного рынка стран континентальной Европы.
Для континентальной модели характерен высокий уровень концентрации акционерных капиталов при небольшом количестве акционеров и непубличности размещения ценных бумаг, а вторичный рынок не так развит.",,Англо-американская модель,Азиатско-тихоокеанская модель,Атлантическая модель,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,5,,Александр Иванов,26.06.2021,Александр Иванов,26.06.2021,26.06.2021
154,"Финансовая модель, ориентированная на рынок ценных бумаг и систему институциональных инвесторов-...?",,Англо-американская модель,,"Исторически сформировались две основные модели финансовых рынков: финансовая система, ориентированная на банковское финансирование — bank based financial system, так называемая континентальная модель (европейско-континентальная модель), — и финансовая система, ориентированная на рынок ценных бумаг и систему институциональных инвесторов (страховые компании, инвестиционные и пенсионные фонды) — market based financial system, или англо-американская модель.
Для англо-американской модели характерна ориентация на публичное размещение ценных бумаг и высокий уровень развития вторичного рынка, который по объему значительно больше вторичного рынка стран континентальной Европы.
Для континентальной модели характерен высокий уровень концентрации акционерных капиталов при небольшом количестве акционеров и непубличности размещения ценных бумаг, а вторичный рынок не так развит.",,Континентальная модель,Атлантическая модель,Голландская модель,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,5,,Александр Иванов,26.06.2021,Александр Иванов,26.06.2021,26.06.2021
155,В исламской модели финансового рынка запрещается…?,,Взимание процентных платежей,,"Исламским банкам, в своей деятельности действующим по законам шариата, строго запрещено пользоваться ссудным процентом. Запрет носит название ""риба"". Прибыль кредитора (банка) зависит от того, насколько доходным окажется кредитуемый проект самого заемщика. Риск же невозврата займа полностью лежит на плечах кредитора. Классическая схема здесь такова: владелец денег, инвестор или финансист (раб уль-маль), будучи одной стороной контракта, вносит в проект капитал. Вторая сторона контракта - агент (мудариб) вносит труд (физический или управленческий). Сложение этих факторов обеспечивает реализацию проекта (работу предприятия). А получаемая прибыль делится между сторонами в той пропорции, которую они заблаговременно установили формальным соглашением. В то же время финансовые потери в проекте полностью ложатся на раб уль-маля. С точки зрения шариата потери, понесенные второй стороной в виде безрезультатной траты времени и сил, не менее весомы, чем потерянные деньги. Каждая из сторон, таким образом, несет свои специфические риски и убытки: денежные приходятся на финансиста, социальные — на предпринимателя. Данный принцип кредитования является прямым следствием самой исламской экономической доктрины, в которой закреплено преимущественное значение труда над капиталом. Здесь соблюдается полная социальная справедливость: владелец капитала теряет часть своих финансов, работник - труд и потраченное время. В случае же успеха прибыль между владельцем капитала и наемным трудом (предпринимателем) распределяется в соответствии с ранее оговоренной пропорцией.",,Продажа товара с наценкой,Взимание налогов,Взимание арендных платежей,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,5,,Александр Иванов,26.06.2021,Александр Иванов,26.06.2021,26.06.2021
156,На каком из типов рынка покупатели и продавцы ценных бумаг конкурируют за право заключения сделки?,,Двойной аукцион,,"Двойной аукцион — обобщенная форма аукциона, обозначающая ситуацию, когда в нем участвует более одного продавца и более одного покупателя, одновременно сообщающих свои ставки аукционисту, который затем определяет равновесную цену, по которой совершаются сделки между продавцами и покупателями, ставки которых были не хуже этой цены. Многие знают про голландский аукцион, английский и дилерский, но почему-то забывают про двойной. На нём конкуренция идёт между продавцами и покупателями, заявки поступают сразу с двух сторон и основная задача — чтобы довольны были все. Собственно, именно это мы и видим на рынке ценных бумаг. Есть так называемый стакан заявок, где крутятся как продавцы, так и покупатели вместе.",,Голландский аукцион,Английский аукцион,Дилерский рынок,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,6,,Александр Иванов,26.06.2021,Александр Иванов,26.06.2021,26.06.2021
157,"Ценная бумага, удостоверяющая денежные средства - это…?",,Чек,,"Чек (фр. chèque, англ. cheque/check) — ценная бумага, содержащая ничем не обусловленное распоряжение чекодателя банку произвести платёж указанной в нём суммы чекодержателю. Чекодателем является лицо, имеющее денежные средства в банке, которыми он вправе распоряжаться путём выписывания чеков, чекодержателем — лицо, в пользу которого выдан чек, плательщиком — банк, в котором находятся денежные средства чекодателя. Чек может быть именным (выписанным на определённое лицо), ордерным (выписанным в пользу определённого лица) и на предъявителя. Передача чеков, за исключением именных, осуществляется посредством индоссамента (надписи на обратной стороне). Чекодатель не вправе отозвать чек до истечения установленного срока для предъявления его к оплате. После истечения этого срока чек оплате не подлежит.",,Коносамент,Простое складское свидетельство,Акция,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,3,,Александр Иванов,26.06.2021,Александр Иванов,26.06.2021,26.06.2021
158,"Что не является ценной бумагой, в соответствии с законодательством Российской Федерации?",,Банковская сберегательная именная книжка,,"Сберегательные книжки бывают именные, а бывают на предъявителя. В ГК ст. 843 п.1. ""Сберегательная книжка"" говорится: ""Сберегательная книжка на предъявителя является ценной бумагой."". Но не именная!!!",,Клиринговый сертификат участия,Депозитный и сберегательный сертификат,Чек,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,4,,Александр Иванов,26.06.2021,Александр Иванов,26.06.2021,26.06.2021
159,"Ценная бумага, не являющаяся инструментом финансового рынка - это…?",,Коносамент,,"Коносамент (фр. le connaissement; англ. bill of lading, B/L, BOL) — документ, выдаваемый перевозчиком груза грузовладельцу. Удостоверяет право собственности на отгруженный товар. Коносамент выполняет одновременно несколько функций:
- расписка перевозчика в получении груза для перевозки, с одновременным описанием видимого состояния груза;
- подтверждение договора перевозки груза;
- товарораспорядительный документ.
Может служить обеспечением кредита под отгруженные товары. Первоначально коносамент применялся при транспортировке грузов морским транспортом. Сейчас коносамент может охватывать перевозки не только морским или речным транспортом, но и те случаи, когда перевозки осуществляются разными видами транспорта. В этом случае коносамент называется сквозным.",,Вексель,Депозитный сертификат,Чек,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,4,,Александр Иванов,26.06.2021,Александр Иванов,26.06.2021,26.06.2021
160,"Ценная бумага, не удостоверяющая финансовые вложения - это…?",,Простое складское свидетельство,,"Простое складское свидетельство — товарная ценная бумага, выдаваемая на предъявителя. Регулируется Гражданским Кодексом РФ. Товар, принятый на хранение по простому складскому свидетельству, в течение срока его хранения может являться предметом залога. По сути это документ, выдаваемый товарным складом в подтверждение того, что товар находится на складе и будет выдан предъявителю.",,Акция,Облигация,Депозитный сертификат,"#Термины и понятия; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Базовый экзамен,,,4,,Александр Иванов,26.06.2021,Александр Иванов,26.06.2021,26.06.2021
161,Североморский маркерный сорт нефти - это…?,,Brent,,"Brent (англ. Brent Crude, Brent Blend, London Brent) — эталонная марка (маркерный сорт) нефти, добываемая в Северном море. С 2007 года фактически является смесью нескольких сортов нефти, добываемых на шельфовых месторождениях Brent, Forties, Oseberg и Ekofisk между побережьями Норвегии и Великобритании. Является одной из основных марок нефти, торгуемых на международных нефтяных биржах, в частности на ICE.",,WTI,Urals,Arctic Oil (ARCO),"#Компании, тикеры; #Виды финансовых инструментов; #Сектора экономики, Отрасли",#Организация торговли финансовыми инструментами; #Сырье,#Нефть,,3,,Александр Иванов,27.06.2021,Александр Иванов,27.06.2021,27.06.2021
162,Техасский (США) маркерный сорт нефти - это…?,,WTI,,"West Texas Intermediate (WTI) известная также как Texas light sweet — марка нефти, которая добывается в штате Техас (США), плотность в градусах API составляет 39,6°, плотность 827 кг/м³, содержание серы — 0,4—0,5 %. В основном используется для производства бензина, поэтому на этот и сходные сорта нефти высокий спрос, в частности, в США и Китае. Фьючерсы на нефть эталонной марки West Texas Intermediate, торгуемые на бирже NYMEX с 1983 года, включают в себя условие поставки на нефтехранилища в г. Кушинг.",,Brent,Edmonton Par,ESPO,"#Компании, тикеры; #Виды финансовых инструментов; #Сектора экономики, Отрасли",#Организация торговли финансовыми инструментами; #Сырье,#Нефть,,3,,Александр Иванов,27.06.2021,Александр Иванов,27.06.2021,27.06.2021
163,Регион добычи нефти сорта ESPO - это…?,,Россия,,"ESPO — марка сибирской нефти, поставляемая по трубопроводу Восточная Сибирь — Тихий океан (ВСТО). Цена нефти ESPO сейчас имеет привязку к эмиратскому сорту Dubai Crude, премия к цене которой в мае 2012 года составляла $4,4 за баррель. В июне 2010 года, ESPO наоборот торговалась с дисконтом $0,4-1,4. При этом считается, что качество нефти ESPO выше ближневосточной. Нефть этой марки поставляется в страны Азии, а также на западное побережье США, где конкурирует с аляскинской нефтью сорта ANS. По данным Reuters, на ESPO в начале 2010 года приходилось 0,3 % мировых поставок нефти. По американским стандартам плотность нефти марки ESPO Blend, составляет 34,8 градуса API с содержанием серы 0,62 % (до 0,53 %), в то время как нефть сорта Dubai значительно более сернистая — 2,0 % при плотности 31 градуса API. Вследствие этого, такая нефть более привлекательна для нефтепереработчиков, чем Urals, так как при переработке сырья удаление серы — сложный процесс, повышающий себестоимость топлива.",,США,Саудовская Аравия,Китай,"#Компании, тикеры; #Виды финансовых инструментов; #Сектора экономики, Отрасли",#Организация торговли финансовыми инструментами; #Сырье,#Нефть,,5,,Александр Иванов,27.06.2021,Александр Иванов,27.06.2021,27.06.2021
164,Первое место в мире по объему производства палладия (Pd) занимает компания…?,,"ПАО ""Норникель""",,"ПАО «Норникель» (до 2016 года бренд «Нори́льский ни́кель») — российская горно-металлургическая компания. В настоящее время «Норникель» объединяет группу предприятий, возглавляемую Публичным акционерным обществом ""Горно-металлургическая компания «Норильский никель» (ПАО «ГМК „Норильский никель“»). ГМК «Норникель» — крупнейшая в России и одна из крупнейших в мире компаний по производству драгоценных и цветных металлов. На его долю (от мировой) приходится: 
40 % палладия (первое место в мире по объёму производства),
12 % никеля (второе место в мире по объёму производства в 2016 году),
11 % платины,
5 % кобальта (кобальтовый концентрат),
2 % меди.",,Anglo American Platinum Ltd.,Sibanye-Stillwater Ltd.,Impala Platinum Holdings Limited (Implats),"#Компании, тикеры; #Биржи, индексы; #Виды финансовых инструментов; #Сектора экономики, Отрасли",#Организация торговли финансовыми инструментами; #Российские компании; #Московская биржа; #MIX; #RTS; #Металлургия,#Драгоценные и редкоземельные металлы,,4,,Александр Иванов,27.06.2021,Александр Иванов,27.06.2021,27.06.2021
165,Долговым финансовым инструментом является…?,,Облигация,,"Облига́ция (лат. obligatio — обязательство; в некоторых контекстах также бонд, нота, от англ. bond, note) — эмиссионная долговая ценная бумага, владелец которой имеет право получить её номинальную стоимость деньгами или имуществом в установленный ею срок от того, кто её выпустил (эмитента). Также облигация может давать право держателю получать разовый или периодический доход в виде процента от её номинальной стоимости (в том числе в форме купона). Часто встречаются облигации с переменной процентной ставкой, которая привязывается к ставкам межбанковского рынка, ставке рефинансирования или к другим финансовым индикаторам. Иногда облигации предусматривают погашение не в денежной форме, а заранее оговоренным имуществом или иными правами. Конечный доход по облигации помимо процентных (купонных) выплат формирует разница между ценой её покупки и погашения (дисконт).",,Ипотечный сертификат участия,Акция,Инвестиционный пай паевого инвестиционного фонда,"#Термины и понятия; #Виды финансовых инструментов; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Облигация; #Базовый экзамен,,,3,,Александр Иванов,27.06.2021,Александр Иванов,27.06.2021,27.06.2021
166,Какая ценная бумага не является долговым финансовым инструментом?,,Акция,,"А́кция (от лат. actio — [помимо проч.] право (на что-то), которое может быть отстояно в суде) — эмиссионная ценная бумага, доля владения компанией, закрепляющая права её владельца (акционера) на получение части прибыли акционерного общества в виде дивидендов, на участие в управлении акционерным обществом и на часть имущества, остающегося после его ликвидации, пропорционально количеству акций, находящихся в собственности у владельца. Для допуска к торгам на бирже акции должны пройти процедуру листинга или быть допущены к торгам без прохождения процедуры листинга. Участие акции в торгах позволяет эмитенту привлечь самый дешёвый и самый долгосрочный капитал, повысить стоимость компании, снизить стоимость заимствований, поднять свой престиж, осуществлять дополнительную рекламу через биржевые каналы и успешно размещать последующие выпуски.",,Облигация,Вексель,Закладная,"#Термины и понятия; #Виды финансовых инструментов; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Акция; #Базовый экзамен,,,3,,Александр Иванов,27.06.2021,Александр Иванов,27.06.2021,27.06.2021
167,Какая ценная бумага является долговым финансовым инструментом?,,Вексель,,"Вексель (от нем. Wechsel) — ценная бумага, оформленная по строго установленной форме, дающая право лицу, которому вексель передан (векселедержателю), на получение от должника оговоренной в векселе суммы. Должником по простому векселю является векселедатель, по переводному векселю — иное указанное в векселе лицо (трассат), являющееся должником векселедателя. Существенной особенностью векселя является формальность обязательства по нему, которое отделяется от сути и природы первоначального долга. После акцепта переводного векселя или выдаче простого векселя в счёт погашения долга по какому-либо договору должник уже не может аргументировать отказ от оплаты по векселю условиями договора, который стал причиной возникновения первоначального обязательства. Формальность и обязательность превращает вексель из простой долговой расписки в специфическую ценную бумагу, которая во многих случаях может выполнять функции денег как средства обращения. Эмитентами векселей (векселедателями) могут выступать государство, юридические и физические лица. В Российской Федерации принят Федеральный закон Российской Федерации от 11 марта 1997 г. № 48-ФЗ «О переводном и простом векселе».",,Акция,Коносамент,Ипотечный сертификат участия,"#Термины и понятия; #Виды финансовых инструментов; #Юридические аспекты трейдинга, инвестиций; #ФСФР",#Организация торговли финансовыми инструментами; #Вексель; #Базовый экзамен,,,3,,Александр Иванов,27.06.2021,Александр Иванов,27.06.2021,27.06.2021
